label,i,j,K_ij
fcnn,24,20,41.15769958496094
fcnn,24,21,53.59822082519531
fcnn,24,22,52.33329391479492
fcnn,24,23,51.028045654296875
fcnn,25,0,51.90569305419922
fcnn,25,1,48.27131271362305
fcnn,25,2,60.12998962402344
fcnn,25,3,47.58747100830078
fcnn,25,4,53.44737243652344
fcnn,25,5,38.20811462402344
fcnn,25,6,46.937034606933594
fcnn,25,7,35.66501235961914
fcnn,25,8,53.790550231933594
fcnn,25,9,26.556190490722656
fcnn,25,10,57.267372131347656
fcnn,25,11,48.3270263671875
fcnn,25,12,48.94379425048828
fcnn,25,13,39.08929443359375
fcnn,25,14,46.945343017578125
fcnn,25,15,45.12307357788086
fcnn,25,16,50.58055114746094
fcnn,25,17,45.014801025390625
fcnn,25,18,29.055931091308594
fcnn,25,19,48.79042053222656
fcnn,25,20,46.1328125
fcnn,25,21,50.108211517333984
fcnn,25,22,50.363677978515625
fcnn,25,23,47.14405059814453
fcnn,25,24,45.306114196777344
fcnn,26,0,54.0911865234375
fcnn,26,1,43.16494369506836
fcnn,26,2,52.569053649902344
fcnn,26,3,45.47072982788086
fcnn,26,4,50.59539031982422
fcnn,26,5,41.14051055908203
fcnn,26,6,47.22059631347656
fcnn,26,7,36.81510925292969
fcnn,26,8,52.00476837158203
fcnn,26,9,30.298463821411133
fcnn,26,10,53.38886260986328
fcnn,26,11,48.398712158203125
fcnn,26,12,47.08619689941406
fcnn,26,13,35.8735237121582
fcnn,26,14,45.41992950439453
fcnn,26,15,42.490108489990234
fcnn,26,16,48.84571838378906
fcnn,26,17,45.341392517089844
fcnn,26,18,29.006725311279297
fcnn,26,19,46.43009948730469
fcnn,26,20,38.66826629638672
fcnn,26,21,49.781166076660156
fcnn,26,22,47.38511657714844
fcnn,26,23,47.53854751586914
fcnn,26,24,50.8250617980957
fcnn,26,25,47.42915344238281
fcnn,27,0,59.42258071899414
fcnn,27,1,50.144996643066406
fcnn,27,2,52.53041076660156
fcnn,27,3,55.5898323059082
fcnn,27,4,52.63282012939453
fcnn,27,5,33.708404541015625
fcnn,27,6,50.66554260253906
fcnn,27,7,35.02338790893555
fcnn,27,8,53.72216796875
fcnn,27,9,27.895469665527344
fcnn,27,10,50.845924377441406
fcnn,27,11,49.82596969604492
fcnn,27,12,56.01433181762695
fcnn,27,13,35.47481918334961
fcnn,27,14,43.66798400878906
fcnn,27,15,42.8441162109375
fcnn,27,16,50.1176872253418
fcnn,27,17,49.342041015625
fcnn,27,18,30.071516036987305
fcnn,27,19,47.854469299316406
fcnn,27,20,38.834434509277344
fcnn,27,21,54.58380889892578
fcnn,27,22,53.58061599731445
fcnn,27,23,54.6893310546875
fcnn,27,24,50.507930755615234
fcnn,27,25,47.6464958190918
fcnn,27,26,47.03120422363281
fcnn,28,0,51.616485595703125
fcnn,28,1,43.304847717285156
fcnn,28,2,50.268733978271484
fcnn,28,3,49.641929626464844
fcnn,28,4,49.67155456542969
fcnn,28,5,36.90031051635742
fcnn,28,6,46.64899444580078
fcnn,28,7,41.15825271606445
fcnn,28,8,51.35821533203125
fcnn,28,9,31.931625366210938
fcnn,28,10,47.37128829956055
fcnn,28,11,47.5740852355957
fcnn,28,12,45.98886489868164
fcnn,28,13,36.71307373046875
fcnn,28,14,42.035892486572266
fcnn,28,15,42.60552215576172
fcnn,28,16,51.75583267211914
fcnn,28,17,44.271690368652344
fcnn,28,18,31.32595443725586
fcnn,28,19,44.292724609375
fcnn,28,20,37.585121154785156
fcnn,28,21,47.027183532714844
fcnn,28,22,48.07989501953125
fcnn,28,23,45.29469299316406
fcnn,28,24,45.52802276611328
fcnn,28,25,45.7602424621582
fcnn,28,26,47.93524169921875
fcnn,28,27,45.37126922607422
fcnn,29,0,30.07980728149414
fcnn,29,1,22.982730865478516
fcnn,29,2,36.251834869384766
fcnn,29,3,20.82706069946289
fcnn,29,4,27.904747009277344
fcnn,29,5,32.88047790527344
fcnn,29,6,23.582355499267578
fcnn,29,7,26.047176361083984
fcnn,29,8,27.84560203552246
fcnn,29,9,23.68199348449707
fcnn,29,10,36.242156982421875
fcnn,29,11,27.2781982421875
fcnn,29,12,23.428194046020508
fcnn,29,13,27.059223175048828
fcnn,29,14,26.93463706970215
fcnn,29,15,20.149263381958008
